,Player,Team,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s,Season,SR_Range
0,Mohammad Yousuf,PAK,19,19,8,993,117,90.27,1239,80.14,3,7,0,73,5,2007/08,< 90
1,SR Tendulkar,INDIA,22,22,1,936,117*,44.57,1124,83.27,1,6,2,116,3,2007/08,< 90
2,Salman Butt,PAK,13,13,0,747,136,57.46,854,87.47,3,3,1,93,2,2007/08,< 90
3,GC Smith,SA,16,16,2,720,103*,51.42,932,77.25,1,7,2,78,4,2007/08,< 80
4,MS Dhoni,INDIA,22,20,6,708,88*,50.57,892,79.37,0,5,0,50,9,2007/08,< 80
5,Younis Khan,PAK,16,16,0,695,117,43.43,793,87.64,1,6,0,60,9,2007/08,< 90
6,Yuvraj Singh,INDIA,21,20,1,666,121,35.05,803,82.93,1,5,0,62,15,2007/08,< 90
7,Shoaib Malik,PAK,20,18,1,650,89,38.23,747,87.01,0,5,0,46,9,2007/08,< 90
8,BB McCullum,NZ,14,14,2,644,96,53.66,586,109.89,0,6,1,69,24,2007/08,> 100
9,ML Hayden,AUS,16,15,0,634,92,42.26,765,82.87,0,6,0,75,8,2007/08,< 90
10,RT Ponting,AUS,18,17,3,631,134*,45.07,746,84.58,3,1,1,65,4,2007/08,< 90
11,A Symonds,AUS,20,18,3,619,107*,41.26,647,95.67,1,5,2,48,15,2007/08,< 100
12,G Gambhir,INDIA,18,18,3,598,113,39.86,762,78.47,2,2,0,58,2,2007/08,< 80
13,MJ Clarke,AUS,20,18,2,591,130,36.93,793,74.52,1,4,3,44,4,2007/08,< 80
14,AC Gilchrist,AUS,19,18,1,581,118,34.17,571,101.75,1,5,2,63,13,2007/08,> 100
15,JM How,NZ,14,13,1,577,139,48.08,769,75.03,1,4,0,62,4,2007/08,< 80
16,HH Gibbs,SA,14,14,0,564,119,40.28,634,88.95,3,2,2,71,14,2007/08,< 90
17,Tamim Iqbal,BDESH,14,14,0,531,129,37.92,719,73.85,1,4,1,62,6,2007/08,< 80
18,KC Sangakkara,SL,16,15,0,529,128,35.26,792,66.79,1,2,0,45,0,2007/08,< 70
19,AB de Villiers,SA,16,14,3,521,103*,47.36,652,79.9,1,3,0,52,5,2007/08,< 80
20,Misbah-ul-Haq,PAK,20,17,3,505,55*,36.07,540,93.51,0,1,0,36,9,2007/08,< 100
21,S Chanderpaul,WI,9,9,4,430,127*,86.0,560,76.78,1,4,0,28,5,2007/08,< 80
22,JH Kallis,SA,13,13,3,397,121*,39.7,568,69.89,1,2,1,37,2,2007/08,< 70
23,JP Duminy,SA,13,10,4,390,79*,65.0,537,72.62,0,2,0,28,5,2007/08,< 80
24,TM Dilshan,SL,16,14,3,372,70,33.81,404,92.07,0,4,0,26,3,2007/08,< 100
25,JR Hopes,AUS,19,16,1,349,63,23.26,372,93.81,0,1,0,31,1,2007/08,< 100
26,RS Morton,WI,9,9,0,344,79,38.22,484,71.07,0,3,0,24,5,2007/08,< 80
27,Shahid Afridi,PAK,18,15,4,341,85,31.0,227,150.22,0,1,1,25,18,2007/08,> 100
28,RV Uthappa,INDIA,21,18,3,340,51,22.66,398,85.42,0,1,2,33,8,2007/08,< 90
29,AN Cook,ENG,10,10,0,339,80,33.9,546,62.08,0,3,1,31,0,2007/08,< 70
30,LPC Silva,SL,16,14,1,338,73,26.0,556,60.79,0,3,3,27,1,2007/08,< 70
31,SB Styris,NZ,14,12,3,330,75,36.66,395,83.54,0,2,1,30,5,2007/08,< 90
32,DPMD Jayawardene,SL,16,15,2,327,71,25.15,477,68.55,0,3,2,25,2,2007/08,< 70
33,Mohammad Ashraful,BDESH,14,14,1,320,70,24.61,408,78.43,0,2,1,38,1,2007/08,< 80
34,MN Samuels,WI,11,11,2,306,98,34.0,353,86.68,0,3,1,21,11,2007/08,< 90
35,Shakib Al Hasan,BDESH,14,13,0,302,108,23.23,420,71.9,1,2,1,24,0,2007/08,< 80
36,Kamran Akmal,PAK,17,12,1,290,100,26.36,333,87.08,1,0,1,38,3,2007/08,< 90
37,LRPL Taylor,NZ,14,12,5,290,50,41.42,340,85.29,0,1,0,21,9,2007/08,< 90
38,RG Sharma,INDIA,12,12,3,288,70*,32.0,376,76.59,0,3,1,23,2,2007/08,< 80
39,MEK Hussey,AUS,13,10,3,287,65*,41.0,409,70.17,0,2,0,12,1,2007/08,< 80
40,V Sehwag,INDIA,14,14,1,782,125*,60.15,612,127.77,2,6,0,105,19,2008/09,> 100
41,Yuvraj Singh,INDIA,15,14,2,709,138*,59.08,643,110.26,3,3,1,81,21,2008/09,> 100
42,CH Gayle,WI,13,13,1,643,135,53.58,622,103.37,3,1,2,49,34,2008/09,> 100
43,KC Sangakkara,SL,16,16,2,631,84,45.07,918,68.73,0,6,1,54,1,2008/09,< 70
44,JH Kallis,SA,12,12,1,630,92*,57.27,752,83.77,0,7,0,53,6,2008/09,< 90
45,BJ Haddin,AUS,15,15,1,606,109,43.28,656,92.37,1,5,0,49,15,2008/09,< 100
46,MS Dhoni,INDIA,15,14,5,592,94,65.77,661,89.56,0,6,0,38,8,2008/09,< 90
47,LRPL Taylor,NZ,18,16,3,591,103,45.46,728,81.18,1,4,0,46,14,2008/09,< 90
48,AB de Villiers,SA,13,13,3,559,84,55.9,582,96.04,0,5,0,40,9,2008/09,< 100
49,G Gambhir,INDIA,14,13,1,550,150,45.83,606,90.75,1,4,0,60,2,2008/09,< 100
50,MEK Hussey,AUS,15,15,3,549,83*,45.75,623,88.12,0,5,0,36,7,2008/09,< 90
51,H Masakadza,ZIM,17,17,1,514,84*,32.12,581,88.46,0,5,0,70,6,2008/09,< 90
52,S Chanderpaul,WI,11,10,3,486,112*,69.42,592,82.09,2,1,0,39,3,2008/09,< 90
53,HM Amla,SA,10,10,1,466,140,51.77,527,88.42,1,3,0,43,5,2008/09,< 90
54,RR Sarwan,WI,13,12,1,464,74,42.18,602,77.07,0,5,0,34,3,2008/09,< 80
55,HH Gibbs,SA,12,12,0,449,110,37.41,520,86.34,1,2,0,57,4,2008/09,< 90
56,MJ Guptill,NZ,12,11,3,448,122*,56.0,514,87.15,1,3,0,36,10,2008/09,< 90
57,TM Dilshan,SL,8,8,1,429,137*,61.28,459,93.46,1,2,1,48,1,2008/09,< 100
58,JP Duminy,SA,14,12,3,412,90,45.77,449,91.75,0,3,0,26,4,2008/09,< 100
59,RT Ponting,AUS,14,14,0,410,64,29.28,507,80.86,0,3,0,42,2,2008/09,< 90
60,BB McCullum,NZ,18,16,0,382,77,23.87,479,79.74,0,2,2,35,8,2008/09,< 80
61,S Matsikenyeri,ZIM,17,17,0,379,90,22.29,468,80.98,0,3,1,36,6,2008/09,< 90
62,SK Raina,INDIA,15,13,4,367,66,40.77,366,100.27,0,3,1,25,15,2008/09,> 100
63,ST Jayasuriya,SL,11,11,0,366,107,33.27,386,94.81,1,1,2,44,5,2008/09,< 100
64,MJ Clarke,AUS,11,11,0,364,98,33.09,486,74.89,0,4,1,32,1,2008/09,< 80
65,JD Ryder,NZ,12,10,0,359,105,35.9,394,91.11,1,1,0,37,13,2008/09,< 100
66,E Chigumbura,ZIM,17,16,0,358,79,22.37,434,82.48,0,3,2,28,15,2008/09,< 90
67,OA Shah,ENG,10,9,1,343,72,42.87,397,86.39,0,4,1,38,4,2008/09,< 90
68,DJ Hussey,AUS,15,15,0,340,79,22.66,451,75.38,0,2,0,26,0,2008/09,< 80
69,SR Tendulkar,INDIA,8,8,1,323,163*,46.14,340,95.0,1,2,0,33,7,2008/09,< 100
70,GD Elliott,NZ,15,10,4,318,115,53.0,366,86.88,1,1,1,21,2,2008/09,< 90
71,Shakib Al Hasan,BDESH,11,11,3,307,92*,38.37,380,80.78,0,3,0,29,3,2008/09,< 90
72,KP Pietersen,ENG,10,9,1,305,111*,38.12,352,86.64,1,1,0,28,6,2008/09,< 90
73,RS Bopara,ENG,10,10,1,288,60,32.0,356,80.89,0,2,0,24,8,2008/09,< 90
74,AA Obanda,KENYA,8,8,1,288,96*,41.14,378,76.19,0,2,0,25,14,2008/09,< 80
75,SHT Kandamby,SL,8,8,1,287,93*,41.0,427,67.21,0,2,0,21,0,2008/09,< 70
76,CJ Ferguson,AUS,9,9,3,284,63,47.33,309,91.9,0,3,0,29,0,2008/09,< 100
77,JR Hopes,AUS,15,13,1,270,63*,22.5,320,84.37,0,1,0,21,1,2008/09,< 90
78,SO Tikolo,KENYA,9,9,0,262,102,29.11,292,89.72,1,1,1,27,5,2008/09,< 90
79,Mohammad Ashraful,BDESH,11,11,1,255,73,25.5,387,65.89,0,2,0,25,1,2008/09,< 70
80,RT Ponting,AUS,26,26,2,1139,111*,47.45,1403,81.18,2,10,2,100,16,2009/10,< 90
81,SR Watson,AUS,23,23,2,1009,136*,48.04,1110,90.9,2,6,2,116,23,2009/10,< 100
82,MEK Hussey,AUS,25,23,6,974,81*,57.29,1020,95.49,0,8,0,70,10,2009/10,< 100
83,CL White,AUS,26,24,3,861,105,41.0,1103,78.05,1,8,1,57,21,2009/10,< 80
84,MS Dhoni,INDIA,20,16,3,754,124,58.0,861,87.57,3,3,0,64,13,2009/10,< 90
85,H Masakadza,ZIM,17,17,1,708,178*,44.25,812,87.19,2,2,3,77,14,2009/10,< 90
86,SR Tendulkar,INDIA,14,13,2,703,200*,63.9,703,100.0,2,2,0,88,8,2009/10,> 100
87,TM Dilshan,SL,11,11,0,688,160,62.54,641,107.33,4,0,0,96,7,2009/10,> 100
88,V Kohli,INDIA,17,14,3,686,107,62.36,785,87.38,2,5,0,69,4,2009/10,< 90
89,SK Raina,INDIA,22,15,3,603,106,50.25,598,100.83,1,5,1,52,14,2009/10,> 100
90,AB de Villiers,SA,11,11,3,572,121,71.5,531,107.72,3,2,0,64,6,2009/10,> 100
91,BB McCullum,NZ,16,16,0,565,131,35.31,648,87.19,1,2,2,55,20,2009/10,< 90
92,KC Sangakkara,SL,13,13,1,558,90,46.5,576,96.87,0,7,0,59,6,2009/10,< 100
93,G Gambhir,INDIA,18,16,1,554,150*,36.93,619,89.49,1,4,2,57,3,2009/10,< 90
94,PD Collingwood,ENG,10,10,2,513,105*,64.12,601,85.35,1,3,0,40,13,2009/10,< 90
95,V Sehwag,INDIA,16,15,0,499,146,33.26,378,132.01,1,0,0,76,11,2009/10,> 100
96,Tamim Iqbal,BDESH,15,15,0,499,125,33.26,503,99.2,1,3,1,65,8,2009/10,< 100
97,MJ Guptill,NZ,16,16,0,475,91,29.68,587,80.91,0,4,0,48,11,2009/10,< 90
98,LRPL Taylor,NZ,15,15,0,474,78,31.6,604,78.47,0,5,2,32,15,2009/10,< 80
99,BRM Taylor,ZIM,17,17,3,472,118*,33.71,565,83.53,1,3,3,32,12,2009/10,< 90
100,WU Tharanga,SL,10,10,1,457,118*,50.77,508,89.96,2,2,3,53,7,2009/10,< 90
101,DPMD Jayawardene,SL,10,10,1,424,108,47.11,466,90.98,1,3,0,40,3,2009/10,< 100
102,Mushfiqur Rahim,BDESH,15,14,1,401,86,30.84,527,76.09,0,3,0,30,6,2009/10,< 80
103,HM Amla,SA,8,8,0,395,87,49.37,482,81.95,0,4,0,39,0,2009/10,< 90
104,Shakib Al Hasan,BDESH,15,14,2,384,105*,32.0,461,83.29,1,1,2,36,4,2009/10,< 90
105,Imrul Kayes,BDESH,10,10,0,382,101,38.2,549,69.58,1,2,0,38,4,2009/10,< 70
106,EJG Morgan,ENG,10,10,4,381,110*,63.5,419,90.93,1,2,1,37,9,2009/10,< 100
107,JH Kallis,SA,7,7,1,374,104*,62.33,412,90.77,1,2,0,32,6,2009/10,< 100
108,S Matsikenyeri,ZIM,16,15,4,370,86,33.63,473,78.22,0,3,1,25,3,2009/10,< 80
109,SE Marsh,AUS,11,11,0,367,112,33.36,492,74.59,1,1,0,33,4,2009/10,< 80
110,DL Vettori,NZ,14,14,3,363,70,33.0,360,100.83,0,1,1,27,5,2009/10,> 100
111,GC Smith,SA,8,8,0,362,141,45.25,358,101.11,1,3,0,47,3,2009/10,> 100
112,MJ Clarke,AUS,10,10,1,344,80,38.22,459,74.94,0,2,0,14,1,2009/10,< 80
113,E Chigumbura,ZIM,15,15,1,335,60*,23.92,408,82.1,0,2,0,34,7,2009/10,< 90
114,Mahmudullah,BDESH,15,13,3,334,64*,33.4,422,79.14,0,2,1,27,4,2009/10,< 80
115,Mohammad Yousuf,PAK,10,10,0,329,87,32.9,462,71.21,0,2,0,29,2,2009/10,< 80
116,CH Gayle,WI,10,10,1,328,88,36.44,329,99.69,0,3,1,31,12,2009/10,< 100
117,N Deonarine,WI,12,11,2,325,65*,36.11,420,77.38,0,3,0,30,4,2009/10,< 80
118,BJ Haddin,AUS,13,12,3,306,110,34.0,338,90.53,1,1,1,23,10,2009/10,< 100
119,Umar Akmal,PAK,11,11,2,306,67,34.0,426,71.83,0,3,2,24,2,2009/10,< 80
120,HM Amla,SA,20,20,2,1091,119*,60.61,1106,98.64,5,6,0,112,4,2010/11,< 100
121,AB de Villiers,SA,18,18,2,907,134,56.68,910,99.67,4,4,0,65,18,2010/11,< 100
122,V Kohli,INDIA,20,20,3,827,118,48.64,964,85.78,3,5,1,74,8,2010/11,< 90
123,JP Duminy,SA,20,20,6,803,129,57.35,853,94.13,1,6,1,39,13,2010/11,< 100
124,IJL Trott,ENG,14,14,1,797,137,61.3,981,81.24,2,6,1,52,0,2010/11,< 90
125,G Gambhir,INDIA,14,14,2,722,138*,60.16,760,95.0,2,4,1,81,0,2010/11,< 100
126,LRPL Taylor,NZ,23,20,3,679,131*,39.94,851,79.78,1,4,0,39,25,2010/11,< 80
127,SR Watson,AUS,16,15,1,661,161*,47.21,691,95.65,1,5,0,65,13,2010/11,< 100
128,KC Sangakkara,SL,15,13,3,654,111,65.4,805,81.24,1,4,1,59,6,2010/11,< 90
129,MJ Clarke,AUS,17,16,5,652,111*,59.27,776,84.02,1,5,0,49,5,2010/11,< 90
130,WU Tharanga,SL,15,14,4,652,133,65.2,850,76.7,3,2,0,73,2,2010/11,< 80
131,Yuvraj Singh,INDIA,20,18,6,631,113,52.58,789,79.97,1,6,1,68,8,2010/11,< 80
132,BJ Haddin,AUS,17,16,0,615,88,38.43,788,78.04,0,5,0,76,7,2010/11,< 80
133,MJ Guptill,NZ,19,18,3,613,86*,40.86,807,75.96,0,4,1,64,10,2010/11,< 80
134,TM Dilshan,SL,15,14,1,596,144,45.84,669,89.08,2,2,0,70,5,2010/11,< 90
135,Mohammad Hafeez,PAK,19,19,2,584,115,34.35,715,81.67,1,3,1,72,4,2010/11,< 90
136,GC Smith,SA,18,18,1,548,92,32.23,756,72.48,0,2,0,55,2,2010/11,< 80
137,T Taibu,ZIM,16,16,0,535,98,33.43,776,68.94,0,5,0,39,2,2010/11,< 70
138,BRM Taylor,ZIM,16,16,1,523,145*,34.86,625,83.68,1,2,2,54,1,2010/11,< 90
139,AJ Strauss,ENG,14,14,0,513,158,36.64,574,89.37,1,3,2,51,3,2010/11,< 90
140,SR Tendulkar,INDIA,11,11,0,513,120,46.63,579,88.6,2,2,0,54,8,2010/11,< 90
141,Shakib Al Hasan,BDESH,14,14,2,511,106,42.58,601,85.02,1,4,0,53,1,2010/11,< 90
142,Misbah-ul-Haq,PAK,15,12,2,482,93*,48.2,676,71.3,0,5,1,27,5,2010/11,< 80
143,CR Ervine,ZIM,15,15,1,472,85,33.71,620,76.12,0,3,1,43,3,2010/11,< 80
144,BB McCullum,NZ,21,19,2,468,101,27.52,487,96.09,1,2,2,53,10,2010/11,< 100
145,Younis Khan,PAK,19,17,1,448,73,28.0,660,67.87,0,4,2,24,0,2010/11,< 70
146,SB Styris,NZ,19,15,1,427,59,30.5,516,82.75,0,3,1,35,5,2010/11,< 90
147,DPMD Jayawardene,SL,15,12,2,420,103*,42.0,446,94.17,2,1,1,41,1,2010/11,< 100
148,Imrul Kayes,BDESH,14,14,1,411,73*,31.61,644,63.81,0,3,0,47,2,2010/11,< 70
149,JD Ryder,NZ,14,11,0,404,107,36.72,461,87.63,1,2,1,38,10,2010/11,< 90
150,IR Bell,ENG,14,14,0,399,81,28.5,527,75.71,0,2,1,27,2,2010/11,< 80
151,Umar Akmal,PAK,14,12,1,394,71,35.81,444,88.73,0,2,1,29,10,2010/11,< 90
152,YK Pathan,INDIA,14,11,2,392,123*,43.55,302,129.8,2,1,1,29,24,2010/11,> 100
153,NL McCullum,NZ,21,18,2,391,65,24.43,433,90.3,0,3,0,30,8,2010/11,< 100
154,JH Kallis,SA,11,11,1,389,83,38.9,523,74.37,0,4,1,29,2,2010/11,< 80
155,V Sehwag,INDIA,8,8,0,380,175,47.5,310,122.58,1,1,1,49,7,2010/11,> 100
156,CO Obuya,KENYA,9,9,2,378,98*,54.0,522,72.41,0,3,0,37,8,2010/11,< 80
157,CL White,AUS,18,16,4,375,89*,31.25,476,78.78,0,1,1,21,8,2010/11,< 80
158,CA Ingram,SA,12,11,2,374,124,41.55,419,89.26,2,0,0,33,6,2010/11,< 90
159,P Utseya,ZIM,16,16,4,358,67,29.83,476,75.21,0,1,0,26,6,2010/11,< 80
160,V Kohli,INDIA,21,21,4,1243,183,73.11,1302,95.46,5,5,1,124,4,2011/12,< 100
161,KC Sangakkara,SL,24,24,1,932,105,40.52,1189,78.38,2,6,0,76,7,2011/12,< 80
162,TM Dilshan,SL,24,24,1,839,160*,36.47,1014,82.74,2,3,2,90,8,2011/12,< 90
163,DA Warner,AUS,19,19,0,770,163,40.52,884,87.1,2,3,0,76,7,2011/12,< 90
164,G Gambhir,INDIA,20,20,1,746,100,39.26,877,85.06,1,6,2,70,1,2011/12,< 90
165,LD Chandimal,SL,23,23,4,735,92*,38.68,982,74.84,0,6,1,49,6,2011/12,< 80
166,DPMD Jayawardene,SL,21,21,1,683,85,34.15,829,82.38,0,6,0,53,6,2011/12,< 90
167,WU Tharanga,SL,19,18,0,563,77,31.27,751,74.96,0,6,2,51,6,2011/12,< 80
168,DJ Hussey,AUS,16,16,3,548,74,42.15,576,95.13,0,6,2,40,7,2011/12,< 100
169,Umar Akmal,PAK,17,15,1,545,91,38.92,661,82.45,0,6,0,43,7,2011/12,< 90
170,SK Raina,INDIA,21,20,4,532,80,33.25,506,105.13,0,4,2,51,9,2011/12,> 100
171,MEK Hussey,AUS,18,18,3,512,67,34.13,657,77.92,0,2,0,37,8,2011/12,< 80
172,Mohammad Hafeez,PAK,17,17,0,501,105,29.47,750,66.8,1,2,1,56,2,2011/12,< 70
173,MS Dhoni,INDIA,15,13,9,488,87*,122.0,529,92.24,0,4,0,33,10,2011/12,< 100
174,MJ Guptill,NZ,8,8,0,483,105,60.37,536,90.11,1,5,0,48,9,2011/12,< 100
175,AB de Villiers,SA,8,8,5,475,125*,158.33,409,116.13,2,2,0,35,12,2011/12,> 100
176,BB McCullum,NZ,9,9,1,474,119,59.25,484,97.93,1,3,0,36,15,2011/12,< 100
177,KA Pollard,WI,13,12,1,462,119,42.0,460,100.43,2,0,1,20,32,2011/12,> 100
178,AN Cook,ENG,9,9,0,456,137,50.66,520,87.69,2,3,1,51,1,2011/12,< 90
179,RG Sharma,INDIA,13,12,1,456,95,41.45,539,84.6,0,4,1,35,6,2011/12,< 90
180,Misbah-ul-Haq,PAK,17,16,4,455,72*,37.91,725,62.75,0,2,0,30,6,2011/12,< 70
181,KP Pietersen,ENG,8,8,1,451,130,64.42,539,83.67,2,1,0,45,7,2011/12,< 90
182,BRM Taylor,ZIM,6,6,2,437,128*,109.25,428,102.1,2,3,0,40,11,2011/12,> 100
183,HM Amla,SA,8,8,0,419,112,52.37,497,84.3,1,4,1,42,3,2011/12,< 90
184,MJ Clarke,AUS,9,9,0,402,117,44.66,440,91.36,1,2,0,34,8,2011/12,< 100
185,RJ Nicol,NZ,9,9,1,391,146,48.87,484,80.78,2,1,1,36,8,2011/12,< 90
186,MS Wade,AUS,16,16,0,387,67,24.18,520,74.42,0,3,1,24,7,2011/12,< 80
187,AD Mathews,SL,18,17,4,382,64,29.38,475,80.42,0,2,2,21,6,2011/12,< 90
188,Shakib Al Hasan,BDESH,10,9,1,374,68,46.75,427,87.58,0,4,0,30,4,2011/12,< 90
189,Younis Khan,PAK,15,15,2,372,70*,28.61,458,81.22,0,3,1,38,0,2011/12,< 90
190,HDRL Thirimanne,SL,15,12,0,357,69,29.75,465,76.77,0,3,0,20,1,2011/12,< 80
191,PJ Forrest,AUS,11,11,0,353,104,32.09,516,68.41,1,3,1,34,4,2011/12,< 70
192,Nasir Hossain,BDESH,10,9,1,348,100,43.5,476,73.1,1,2,0,29,3,2011/12,< 80
193,Shahid Afridi,PAK,17,14,1,345,75,26.53,300,115.0,0,2,1,29,9,2011/12,> 100
194,MN Samuels,WI,13,13,1,343,88*,28.58,474,72.36,0,3,1,35,9,2011/12,< 80
195,JP Duminy,SA,11,11,2,342,66*,38.0,440,77.72,0,2,0,20,3,2011/12,< 80
196,LMP Simmons,WI,7,7,0,336,122,48.0,425,79.05,1,2,1,27,8,2011/12,< 80
197,SR Watson,AUS,12,12,0,335,66,27.91,414,80.91,0,2,0,25,7,2011/12,< 90
198,V Sehwag,INDIA,9,9,0,330,219,36.66,272,121.32,1,0,2,42,8,2011/12,> 100
